第:228回合,loss:53.264763
第:229回合,loss:53.254345
第:230回合,loss:53.243927
第:231回合,loss:53.233494
第:232回合,loss:53.223045
第:233回合,loss:53.21257
第:234回合,loss:53.20207
第:235回合,loss:53.191532
第:236回合,loss:53.18095
第:237回合,loss:53.17031
第:238回合,loss:53.1596
第:239回合,loss:53.1488
第:240回合,loss:53.137897
第:241回合,loss:53.126854
第:242回合,loss:53.115643
第:243回合,loss:53.10422
第:244回合,loss:53.092556
第:245回合,loss:53.080593
第:246回合,loss:53.06831
第:247回合,loss:53.05574
第:248回合,loss:53.042927
第:249回合,loss:53.02998
第:250回合,loss:53.016975
第:251回合,loss:53.003994
第:252回合,loss:52.990974
第:253回合,loss:52.977814
第:254回合,loss:52.964314
第:255回合,loss:52.950047
第:256回合,loss:52.934425
第:257回合,loss:52.917694
第:258回合,loss:52.900627
第:259回合,loss:52.88332
第:260回合,loss:52.867294
第:261回合,loss:52.85255
第:262回合,loss:52.838528
第:263回合,loss:52.82489
第:264回合,loss:52.811443
第:265回合,loss:52.798122
第:266回合,loss:52.784893
第:267回合,loss:52.77174
第:268回合,loss:52.75865
第:269回合,loss:52.745605
第:270回合,loss:52.73258
第:271回合,loss:52.719578
第:272回合,loss:52.706554
第:273回合,loss:52.693527
第:274回合,loss:52.68049
第:275回合,loss:52.667454
第:276回合,loss:52.65446
第:277回合,loss:52.641502
第:278回合,loss:52.628613
第:279回合,loss:52.615818
第:280回合,loss:52.603153
第:281回合,loss:52.590652
第:282回合,loss:52.57836
第:283回合,loss:52.56633
第:284回合,loss:52.55463
第:285回合,loss:52.543293
第:286回合,loss:52.532314
第:287回合,loss:52.52163
第:288回合,loss:52.5112
第:289回合,loss:52.501038
第:290回合,loss:52.491238
第:291回合,loss:52.48184
第:292回合,loss:52.47286
第:293回合,loss:52.464306
第:294回合,loss:52.456257
第:295回合,loss:52.448757
第:296回合,loss:52.441914
第:297回合,loss:52.435738
第:298回合,loss:52.430187
第:299回合,loss:52.425205
第:300回合,loss:52.420727
第:301回合,loss:52.416653
第:302回合,loss:52.412872
第:303回合,loss:52.40933
第:304回合,loss:52.405987
第:305回合,loss:52.402813
第:306回合,loss:52.399757
第:307回合,loss:52.396736
第:308回合,loss:52.39372
第:309回合,loss:52.390617
第:310回合,loss:52.38739
第:311回合,loss:52.384186
第:312回合,loss:52.381073
第:313回合,loss:52.38113
第:314回合,loss:52.381653
第:315回合,loss:52.38159
第:316回合,loss:52.38073
第:317回合,loss:52.37912
第:318回合,loss:52.376972
第:319回合,loss:52.37451
第:320回合,loss:52.372654
第:321回合,loss:52.372086
第:322回合,loss:52.37126
第:323回合,loss:52.370422
第:324回合,loss:52.37115
第:325回合,loss:52.38034
第:326回合,loss:52.394806
第:327回合,loss:52.403725
第:328回合,loss:52.407913
第:329回合,loss:52.42429
第:330回合,loss:52.427082
第:331回合,loss:52.418518
第:332回合,loss:52.404778
第:333回合,loss:52.413857
第:334回合,loss:52.428543
第:335回合,loss:52.410294
第:336回合,loss:52.382065
第:337回合,loss:52.40047
第:338回合,loss:52.40981
第:339回合,loss:52.4107
第:340回合,loss:52.407513
第:341回合,loss:52.409367
第:342回合,loss:52.397305
第:343回合,loss:52.373978
第:344回合,loss:52.382
第:345回合,loss:52.407246
第:346回合,loss:52.386086
第:347回合,loss:52.33258
第:348回合,loss:52.369003
第:349回合,loss:52.375263
第:350回合,loss:52.35838
第:351回合,loss:52.347668
第:352回合,loss:52.34874
第:353回合,loss:52.347614
第:354回合,loss:52.326057
第:355回合,loss:52.328156
第:356回合,loss:52.355846
第:357回合,loss:52.336132
第:358回合,loss:52.274708
第:359回合,loss:52.298096
第:360回合,loss:52.362827
第:361回合,loss:52.27944
第:362回合,loss:52.261868
第:363回合,loss:52.25057
第:364回合,loss:52.334988
第:365回合,loss:52.236137
第:366回合,loss:52.270565
第:367回合,loss:52.29253
第:368回合,loss:52.265488
第:369回合,loss:52.21111
第:370回合,loss:52.173573
第:371回合,loss:52.203312
第:372回合,loss:52.18029
第:373回合,loss:52.16727
第:374回合,loss:52.13752
第:375回合,loss:52.115902
第:376回合,loss:52.088985
第:377回合,loss:52.058277
第:378回合,loss:52.05432
第:379回合,loss:52.152477
第:380回合,loss:52.888546
第:381回合,loss:52.077576
第:382回合,loss:52.372673
第:383回合,loss:52.073486
第:384回合,loss:52.147034
第:385回合,loss:52.187107
第:386回合,loss:52.04936
第:387回合,loss:52.11741
第:388回合,loss:51.96197
第:389回合,loss:52.01818
第:390回合,loss:52.00166
第:391回合,loss:51.989773
第:392回合,loss:51.969727
第:393回合,loss:51.956673
第:394回合,loss:51.975273
第:395回合,loss:52.057373
第:396回合,loss:52.126495
第:397回合,loss:52.096306
第:398回合,loss:51.989162
第:399回合,loss:51.900997
第:400回合,loss:51.94832
第:401回合,loss:52.531563
第:402回合,loss:52.180622
第:403回合,loss:51.845875
第:404回合,loss:51.893173
第:405回合,loss:51.850574
第:406回合,loss:51.905754
第:407回合,loss:51.894005
第:408回合,loss:51.883564
第:409回合,loss:51.889698
第:410回合,loss:51.978664
第:411回合,loss:52.0184
第:412回合,loss:51.80385
第:413回合,loss:51.76987
第:414回合,loss:51.820457
第:415回合,loss:52.010937
第:416回合,loss:52.015747
第:417回合,loss:51.903606
第:418回合,loss:51.786896
第:419回合,loss:51.847263
第:420回合,loss:52.440777
第:421回合,loss:51.786236
第:422回合,loss:51.749992
第:423回合,loss:51.77432
第:424回合,loss:51.742195
第:425回合,loss:51.737225
第:426回合,loss:51.75082
第:427回合,loss:51.794758
第:428回合,loss:51.873592
第:429回合,loss:51.83045
第:430回合,loss:51.75109
第:431回合,loss:51.69002
第:432回合,loss:52.071987
第:433回合,loss:52.097786
第:434回合,loss:51.69931
第:435回合,loss:51.781696
第:436回合,loss:51.65289
第:437回合,loss:51.693718
第:438回合,loss:51.67654
第:439回合,loss:51.684376
第:440回合,loss:51.681786
第:441回合,loss:51.669548
第:442回合,loss:51.67797
第:443回合,loss:51.729877
